,Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
388,LIEUTENANT,POLICE,F,Salary,,127692.0,
389,TRAFFIC CONTROL AIDE-HOURLY,OEMC,P,Hourly,20.0,,19.86
390,POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
391,LABORER,TRANSPORTN,F,Hourly,40.0,,42.72
392,DEPUTY CHIEF,POLICE,F,Salary,,170112.0,
393,POLICE OFFICER,POLICE,F,Salary,,87006.0,
394,POLICE OFFICER,POLICE,F,Salary,,93354.0,
395,POLICE OFFICER,POLICE,F,Salary,,48078.0,
396,CROSSING GUARD,OEMC,P,Hourly,20.0,,19.38
397,DETENTION AIDE,POLICE,F,Salary,,73992.0,
398,POLICE OFFICER,POLICE,F,Salary,,48078.0,
399,AMBULANCE COMMANDER,FIRE,F,Salary,,128970.0,
400,POLICE OFFICER,POLICE,F,Salary,,93354.0,
401,PLUMBER,FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,50.25
402,POLICE OFFICER,POLICE,F,Salary,,96060.0,
403,POLICE OFFICER,POLICE,F,Salary,,90024.0,
404,CROSSING GUARD,OEMC,P,Hourly,20.0,,18.52
405,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
406,POOL MOTOR TRUCK DRIVER,AVIATION,P,Hourly,10.0,,29.16
407,CEMENT FINISHER,TRANSPORTN,F,Hourly,40.0,,45.25
408,FOSTER GRANDPARENT,FAMILY & SUPPORT,P,Hourly,20.0,,2.65
409,PARKING ENFORCEMENT AIDE,FINANCE,F,Salary,,51012.0,
410,CROSSING GUARD - PER CBA,OEMC,P,Hourly,20.0,,14.54
411,LABORER - APPRENTICE,WATER MGMNT,F,Hourly,40.0,,29.9
412,CROSSING GUARD,OEMC,P,Hourly,20.0,,21.3
413,POLICE OFFICER,POLICE,F,Salary,,87006.0,
414,FIELD SUPVSR,TRANSPORTN,F,Salary,,116244.0,
415,LIBRARIAN I,PUBLIC LIBRARY,F,Salary,,71760.0,
416,POLICE OFFICER,POLICE,F,Salary,,48078.0,
417,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
418,RECRUITER,HUMAN RESOURCES,F,Salary,,91248.0,
419,POLICE OFFICER,POLICE,F,Salary,,93354.0,
420,ENGINEERING TECHNICIAN III,TRANSPORTN,F,Salary,,43920.0,
421,POLICE OFFICER,POLICE,F,Salary,,84054.0,
422,FIREFIGHTER-EMT (RECRUIT),FIRE,F,Salary,,76266.0,
423,POLICE OFFICER,POLICE,F,Salary,,93354.0,
424,POLICE OFFICER,POLICE,F,Salary,,87006.0,
425,POLICE OFFICER,POLICE,F,Salary,,90024.0,
426,AVIATION SECURITY OFFICER,AVIATION,F,Salary,,85056.0,
427,SUPERVISING VIDEOGRAPHER,BUSINESS AFFAIRS,F,Salary,,83628.0,
428,HOISTING ENGINEER,WATER MGMNT,F,Hourly,40.0,,51.1
429,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,103932.0,
430,CROSSING GUARD,OEMC,P,Hourly,20.0,,18.52
431,POLICE OFFICER,POLICE,F,Salary,,96060.0,
432,CUSTODIAL WORKER,AVIATION,F,Hourly,40.0,,18.0
433,POLICE OFFICER,POLICE,F,Salary,,90024.0,
434,FIREFIGHTER-EMT,FIRE,F,Salary,,92274.0,
435,POLICE OFFICER,POLICE,F,Salary,,90024.0,
436,POLICE OFFICER,POLICE,F,Salary,,87006.0,
437,FILTRATION ENGINEER IV,WATER MGMNT,F,Salary,,114780.0,
438,POLICE OFFICER,POLICE,F,Salary,,72510.0,
439,CIVIL ENGINEER IV,TRANSPORTN,F,Salary,,80628.0,
440,CROSSING GUARD,OEMC,P,Hourly,20.0,,19.38
441,CONSTRUCTION LABORER,WATER MGMNT,F,Hourly,40.0,,42.72
442,POLICE OFFICER,POLICE,F,Salary,,93354.0,
443,OPERATING ENGINEER-GROUP A,AVIATION,F,Hourly,40.0,,50.71
444,POLICE OFFICER,POLICE,F,Salary,,68616.0,
445,CROSSING GUARD - PER CBA,OEMC,P,Hourly,20.0,,13.94
446,COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,HEALTH,F,Salary,,76584.0,
447,POLICE COMMUNICATIONS OPERATOR II,OEMC,F,Salary,,55260.0,
448,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
449,POLICE OFFICER,POLICE,F,Salary,,87006.0,
450,MANAGER OF POLICE PAYROLLS,POLICE,F,Salary,,105756.0,
451,SERGEANT,POLICE,F,Salary,,107988.0,
452,POLICE OFFICER,POLICE,F,Salary,,76266.0,
453,POLICE OFFICER,POLICE,F,Salary,,72510.0,
454,CONSTRUCTION LABORER,WATER MGMNT,F,Hourly,40.0,,42.72
455,SENIOR TELECOMMUNICATIONS SPECIALIST,DoIT,F,Salary,,111024.0,
